case_id,qtype,question,gold,8b_free,8b_orch,30ba3b_free,30ba3b_orch,32b_free,32b_orch
clevrer-1205-14,counterfactual,"Without the brown object, what will happen?",B. The red cube and the sphere collide,True,True,True,True,,
clevrer-1439-12,predictive,Which event will happen next?,B. The green cylinder and the rubber sphere collide,True,True,True,True,,
clevrer-1445-13,counterfactual,"If the rubber cylinder is removed, which of the following will happen?",D. The brown sphere collides with the blue object,True,True,True,True,,
clevrer-1456-11,explanatory,Which of the following is responsible for the rubber cylinder's exit?,C. the cube's colliding with the green cylinder,True,True,True,True,,
clevrer-1504-12,explanatory,Which of the following is not responsible for the collision between the rubber sphere and ,C. the presence of the yellow metal sphere,True,True,False,False,,
clevrer-1635-11,explanatory,Which of the following is responsible for the sphere's colliding with the purple object?,C. the sphere's colliding with the yellow cylinder,False,False,True,True,,
clevrer-1648-13,counterfactual,"If the sphere is removed, which of the following will happen?",C. The cyan cube and the blue object collide,False,False,False,False,,
clevrer-1674-13,predictive,What will happen next?,B. The metal cylinder and the rubber sphere collide,False,False,False,False,,
clevrer-1802-11,explanatory,Which of the following is not responsible for the collision between the yellow rubber cube,C. the presence of the yellow metal sphere,False,False,False,False,,
clevrer-1876-15,counterfactual,"Without the cylinder, which of the following will not happen?",B. The metal cube and the rubber cube collide,True,True,True,True,,
clevrer-1945-12,explanatory,Which of the following is not responsible for the gray cube's colliding with the sphere?,A. the yellow cube's entering the scene,True,True,True,True,,
clevrer-1974-12,predictive,What will happen next?,A. The sphere collides with the purple object,True,True,False,False,,
clevrer-2193-13,predictive,What will happen next?,A. The metal sphere collides with the cylinder,True,True,False,False,,
clevrer-2358-12,explanatory,Which of the following is responsible for the purple cylinder's colliding with the metal o,D. the collision between the blue rubber cylinder and the purple object,True,True,True,True,,
clevrer-2516-11,explanatory,Which of the following is not responsible for the collision between the red cylinder and t,C. the brown cylinder's entering the scene,False,False,True,True,,
clevrer-2659-11,explanatory,Which of the following is responsible for the cyan cylinder's colliding with the rubber sp,C. the collision between the cyan cylinder and the blue rubber cylinder,True,True,True,True,,
clevrer-2685-12,predictive,What will happen next?,A. The cylinder collides with the rubber cube,False,False,False,False,,
clevrer-2735-14,counterfactual,Which of the following will happen without the cube?,C. The red object collides with the metal cylinder,False,False,True,True,,
clevrer-2736-11,explanatory,Which of the following is not responsible for the collision between the cube and the metal,C. the presence of the yellow cylinder,False,False,True,True,,
clevrer-2886-12,explanatory,Which of the following is not responsible for the collision between the green cylinder and,C. the brown cube's colliding with the green cube,False,False,True,True,,
clevrer-3018-11,explanatory,Which of the following is not responsible for the green metal sphere's colliding with the ,D. the green cylinder's entering the scene,False,False,True,True,,
clevrer-3218-13,predictive,What will happen next?,B. The brown cylinder collides with the cube,True,True,False,False,,
clevrer-3516-14,counterfactual,Which of the following will not happen if the yellow object is removed?,D. The metal cube collides with the gray cube,True,True,False,False,,
clevrer-3754-11,explanatory,Which of the following is not responsible for the collision between the cylinder and the r,C. the collision between the brown sphere and the metal sphere,True,True,True,True,,
clevrer-3758-12,predictive,What will happen next?,A. The purple cylinder and the cube collide,False,False,True,False,,
clevrer-3813-13,predictive,What will happen next?,B. The cylinder and the rubber cube collide,False,False,True,False,,
clevrer-3866-12,explanatory,Which of the following is not responsible for the collision between the red object and the,B. the cylinder's colliding with the gray sphere,True,True,False,True,,
clevrer-3977-14,counterfactual,Which event will happen without the yellow object?,B. The cube collides with the green object,False,False,False,False,,
clevrer-3981-15,counterfactual,"Without the cylinder, which of the following will not happen?",D. The yellow object collides with the metal cube,True,True,True,True,,
clevrer-4015-13,predictive,Which event will happen next?,B. The cylinder and the green cube collide,False,False,False,False,,
clevrer-4192-14,counterfactual,What will happen without the purple cylinder?,B. The gray cylinder and the sphere collide,True,True,True,True,,
clevrer-4411-15,counterfactual,"Without the cube, which of the following will not happen?",A. The brown sphere and the red object collide,True,False,False,False,,
clevrer-4481-13,predictive,What will happen next?,A. The cube collides with the gray object,False,False,False,False,,
clevrer-4540-13,predictive,Which event will happen next?,A. The green rubber cube and the purple object collide,True,True,True,True,,
clevrer-5393-14,counterfactual,"If the sphere is removed, which of the following will happen?",C. The purple object collides with the yellow cylinder,False,False,False,False,,
clevrer-5581-12,explanatory,Which of the following is not responsible for the purple sphere's colliding with the red c,A. the presence of the gray cylinder,True,True,True,True,,
clevrer-560-14,counterfactual,"If the gray sphere is removed, which event will not happen?",D. The brown object and the green sphere collide,True,True,True,True,,
clevrer-5786-14,counterfactual,"Without the purple cylinder, what will happen?",C. The red cylinder collides with the gray object,False,False,False,True,,
clevrer-5822-15,counterfactual,What will happen without the cube?,B. The metal cylinder collides with the sphere,False,False,False,False,,
clevrer-583-15,counterfactual,Which of the following will happen if the cube is removed?,B. The purple object collides with the gray cylinder,False,False,False,False,,
clevrer-5856-12,explanatory,Which of the following is not responsible for the brown cylinder's colliding with the gree,C. the presence of the metal cube,False,False,False,False,,
clevrer-5869-11,explanatory,Which of the following is responsible for the collision between the brown object and the r,D. the presence of the gray metal object,False,False,False,False,,
clevrer-6037-12,explanatory,Which of the following is not responsible for the rubber sphere's colliding with the cube?,D. the collision between the metal sphere and the cube,False,False,False,False,,
clevrer-612-12,explanatory,Which of the following is not responsible for the collision between the cylinder and the y,C. the green sphere's colliding with the yellow cube,False,False,False,False,,
clevrer-6230-15,counterfactual,"Without the cube, which of the following will not happen?",A. The rubber sphere and the blue object collide,True,True,False,False,,
clevrer-6461-13,predictive,What will happen next?,B. The gray rubber sphere collides with the metal sphere,False,False,True,True,,
clevrer-6468-12,explanatory,Which of the following is not responsible for the collision between the sphere and the met,D. the rubber cylinder's colliding with the cyan cylinder,False,False,False,False,,
clevrer-6521-13,predictive,What will happen next?,B. The purple cube collides with the gray object,False,False,True,True,,
clevrer-6592-13,counterfactual,"Without the red cylinder, which event will happen?",C. The cube collides with the yellow object,True,True,True,True,,
clevrer-6649-14,counterfactual,"Without the metal cylinder, what will not happen?",C. The rubber cylinder and the brown object collide,False,False,False,False,,
clevrer-6776-14,counterfactual,Which event will happen without the sphere?,D. The brown object and the rubber cylinder collide,False,False,False,False,,
clevrer-7151-13,predictive,What will happen next?,A. The gray sphere and the purple sphere collide,True,True,True,True,,
clevrer-726-12,explanatory,Which of the following is not responsible for the cylinder's colliding with the sphere?,A. the gray cube's entering the scene,True,True,True,True,,
clevrer-7366-11,explanatory,Which of the following is responsible for the collision between the cylinder and the spher,D. the gray cube's entrance,True,True,True,True,,
clevrer-7610-12,predictive,What will happen next?,B. The cube collides with the green sphere,False,False,True,True,,
clevrer-7947-13,counterfactual,Which event will not happen if the green cylinder is removed?,A. The purple cylinder and the blue sphere collide,True,True,True,True,,
clevrer-7976-12,explanatory,Which of the following is not responsible for the red cylinder's colliding with the purple,A. the cyan object's entering the scene,True,True,True,True,,
clevrer-8240-12,explanatory,Which of the following is not responsible for the cube's colliding with the gray sphere?,C. the presence of the cyan rubber object,False,False,False,False,,
clevrer-8388-14,counterfactual,Which of the following will not happen if the sphere is removed?,A. The red cube and the purple cube collide,False,False,False,False,,
clevrer-8559-13,predictive,What will happen next?,A. The brown object and the gray cube collide,False,False,False,False,,
clevrer-8615-13,predictive,What will happen next?,A. The cylinder and the cube collide,True,True,True,False,,
clevrer-8636-14,counterfactual,"If the green cylinder is removed, which of the following will happen?",C. The sphere and the cube collide,False,False,False,False,,
clevrer-8792-13,predictive,What will happen next?,A. The green cylinder and the purple cylinder collide,True,True,True,True,,
clevrer-8878-14,counterfactual,"Without the cylinder, which event will happen?",C. The brown object and the yellow sphere collide,False,False,True,False,,
clevrer-942-11,predictive,What will happen next?,B. The gray cylinder and the sphere collide,True,True,False,False,,
clevrer-9485-14,counterfactual,"If the rubber cube is removed, what will happen?",A. The gray cube and the red cylinder collide,False,False,False,False,,
clevrer-9488-13,predictive,What will happen next?,B. The red cylinder collides with the gray sphere,True,True,False,False,,
clevrer-9669-11,explanatory,Which of the following is not responsible for the collision between the brown cylinder and,B. the collision between the yellow sphere and the cube,True,True,False,False,,
clevrer-9772-11,explanatory,Which of the following is responsible for the collision between the cube and the blue cyli,C. the brown cylinder's colliding with the cube,True,True,True,True,,
clevrer-9829-14,counterfactual,"If the rubber sphere is removed, what will not happen?",C. The yellow object collides with the cyan object,False,False,False,False,,
